Topic,category
0,Political/social unrest
1,Political/social unrest
2,Political/social unrest
3,conflict
4,Political/social unrest
5,Political/social unrest
6,Political/social unrest
7,Political/social unrest
8,Political/social unrest
9,Political/social unrest
10,conflict
11,Political/social unrest
12,conflict
13,conflict
14,Political/social unrest
15,Political/social unrest
16,conflict
17,Political/social unrest
18,Political/social unrest
19,Political/social unrest
20,Political/social unrest
21,Political/social unrest
22,disease
23,conflict
24,Political/social unrest
25,Political/social unrest
26,Political/social unrest
27,Political/social unrest
28,Political/social unrest
29,Political/social unrest
30,Political/social unrest
31,Political/social unrest
32,Political/social unrest
33,Political/social unrest
34,Political/social unrest
35,Political/social unrest
36,Political/social unrest
37,conflict
38,conflict
39,conflict
40,Political/social unrest
41,Political/social unrest
42,Political/social unrest
43,Political/social unrest
44,Political/social unrest
45,Political/social unrest
46,conflict
47,conflict
48,Political/social unrest
49,Political/social unrest
50,Political/social unrest
51,Political/social unrest
52,Political/social unrest
53,conflict
54,Political/social unrest
55,Political/social unrest
56,Political/social unrest
57,Political/social unrest
58,Political/social unrest
59,Political/social unrest
60,conflict
61,Political/social unrest
62,Political/social unrest
63,Political/social unrest
64,Political/social unrest
65,Political/social unrest
66,Political/social unrest
67,Political/social unrest
68,conflict
69,conflict
70,Political/social unrest
71,Political/social unrest
72,Political/social unrest
73,Political/social unrest
74,conflict
75,Political/social unrest
76,Political/social unrest
77,Political/social unrest
78,Political/social unrest
79,Political/social unrest
80,Political/social unrest
81,Political/social unrest
82,Political/social unrest
83,Political/social unrest
84,conflict
85,conflict
86,conflict
87,Political/social unrest
88,Political/social unrest
89,conflict
90,conflict
91,conflict
92,Political/social unrest
93,Political/social unrest
94,Political/social unrest
95,conflict
96,conflict
97,conflict
98,Political/social unrest
99,conflict
100,conflict
101,Political/social unrest
102,Political/social unrest
103,Political/social unrest
104,conflict
105,Political/social unrest
106,Political/social unrest
107,conflict
108,Political/social unrest
109,Political/social unrest
110,Political/social unrest
111,Political/social unrest
112,conflict
113,Political/social unrest
114,Political/social unrest
115,Political/social unrest
116,Political/social unrest
117,conflict
118,Political/social unrest
119,conflict
120,conflict
121,Political/social unrest
122,Political/social unrest
123,Political/social unrest
124,Political/social unrest
125,conflict
126,Political/social unrest
127,Political/social unrest
128,Political/social unrest
129,Political/social unrest
130,conflict
131,Political/social unrest
132,Political/social unrest
133,conflict
134,Political/social unrest
135,Political/social unrest
136,conflict
137,Political/social unrest
138,population displacement
139,Political/social unrest
140,Political/social unrest
141,Political/social unrest
142,Political/social unrest
143,Political/social unrest
144,Political/social unrest
145,Political/social unrest
146,Political/social unrest
147,Political/social unrest
148,Political/social unrest
149,Political/social unrest
150,Political/social unrest
151,Political/social unrest
152,Political/social unrest
153,conflict
154,Political/social unrest
155,Political/social unrest
156,conflict
157,Political/social unrest
158,conflict
159,Political/social unrest
160,Political/social unrest
161,conflict
162,conflict
163,conflict
164,conflict
165,conflict
166,Political/social unrest
167,Political/social unrest
168,Political/social unrest
169,Political/social unrest
170,conflict
171,conflict
172,conflict
173,Political/social unrest
174,Political/social unrest
175,Political/social unrest
176,Political/social unrest
177,Political/social unrest
178,Political/social unrest
179,Political/social unrest
180,Political/social unrest
181,conflict
182,Political/social unrest
183,Political/social unrest
184,Political/social unrest
185,Political/social unrest
186,Political/social unrest
187,conflict
188,conflict
189,conflict
190,Political/social unrest
191,Political/social unrest
192,Political/social unrest
193,Political/social unrest
194,conflict
195,conflict
196,conflict
197,conflict
198,conflict
199,conflict
200,conflict
201,conflict
202,conflict
203,conflict
204,conflict
205,conflict
206,conflict
207,Political/social unrest
208,Political/social unrest
209,conflict
210,Political/social unrest
211,conflict
212,conflict
213,Political/social unrest
214,Political/social unrest
215,conflict
216,Political/social unrest
217,conflict
218,Political/social unrest
219,conflict
220,conflict
221,conflict
222,Political/social unrest
223,Political/social unrest
224,conflict
225,Political/social unrest
226,conflict
227,Political/social unrest
228,Political/social unrest
229,conflict
230,Political/social unrest
231,conflict
232,conflict
233,Political/social unrest
234,conflict
235,Political/social unrest
236,conflict
237,conflict
238,Political/social unrest
239,Political/social unrest
240,Political/social unrest
241,conflict
242,Political/social unrest
243,Political/social unrest
244,Political/social unrest
245,Political/social unrest
246,Political/social unrest
247,Political/social unrest
248,conflict
249,Political/social unrest
