,country_simple,lat,lng
0,,0.0,0.0
1,serbia,44.016521,21.005859
2,tajikistan,38.861034,71.276093
3,turkey,38.963745,35.243322
4,ukraine,48.379433,31.16558
5,china,35.86166,104.195397
6,myanmar,21.913965,95.956223
7,thailand,15.870032,100.992541
8,kenya,-0.023559,37.906193
9,malawi,-13.254308,34.301525
10,venezuela,6.42375,-66.58973
11,egypt,26.820553,30.802498
12,libya,26.3351,17.228331
13,israel,31.046051,34.851612
14,syria,34.80207499999999,38.996815
15,afghanistan,33.93911,67.709953
16,india,20.593684,78.96288
17,pakistan,30.375321,69.34511599999999
18,mali,17.570692,-3.996166
19,nigeria,9.081999,8.675277
20,phillipines,12.879721,121.774017
21,bolivia,-16.290154,-63.58865299999999
22,brazil,-14.235004,-51.92528
23,mexico,23.634501,-102.552784
24,iraq,33.223191,43.679291
25,tunisia,33.886917,9.537499
26,yemen,15.552727,48.516388
27,liberia,6.428055,-9.429499000000002
28,bulgaria,42.733883,25.48583
29,philippines,12.879721,121.774017
30,south sudan,6.876991899999999,31.3069788
31,uganda,1.373333,32.290275
32,colombia,4.570868,-74.297333
33,iran,32.427908,53.688046
34,lebanon,33.854721,35.862285
35,nepal,28.394857,84.12400799999999
36,sri lanka,7.873053999999999,80.77179699999999
37,mauritania,21.00789,-10.940835
38,serbiakosovo,44.016521,21.005859
39,burundi,-3.373056,29.918886
40,mozambique,-18.665695,35.529562
41,haiti,18.971187,-72.285215
42,burkina faso,12.238333,-1.561593
43,central african republic,6.611110999999999,20.939444
44,drc,-4.038333,21.758664
45,niger,17.607789,8.081666
46,ethiopia,9.145000000000001,40.489673
47,rwanda,-1.940278,29.873888
48,somalia,5.152149,46.199616
49,swaziland,-26.522503,31.465866
50,el salvador,13.794185,-88.89653
51,guyana,4.860416,-58.93018
52,paraguay,-23.442503,-58.443832
53,sudan,12.862807,30.217636
54,dr congo,-4.038333,21.758664
55,guatemala,15.783471,-90.23075899999999
56,algeria,28.033886,1.659626
57,gambia,13.443182,-15.310139
58,madagascar,-18.766947,46.869107
59,jordan,30.585164,36.238414
60,cameroon,7.369721999999999,12.354722
61,peru,-9.189967,-75.015152
62,nicaragua,12.865416,-85.207229
63,senegal,14.497401,-14.452362
64,bosniaherzegovina,43.915886,17.679076
65,russia,61.52401,105.318756
66,esar,28.9797718,50.8320241
67,guinea,9.945587,-9.696645
68,south sudansudan,12.862807,30.217636
69,cambodia,12.565679,104.990963
70,indonesia,-0.789275,113.921327
71,chile,-35.675147,-71.542969
72,laos,19.85627,102.495496
73,solomon islands,-9.64571,160.156194
74,dominican republic,18.735693,-70.162651
75,argentina,-38.416097,-63.61667199999999
76,bosnia herzegovina,43.915886,17.679076
77,zambia,-13.133897,27.849332
78,sierra leone,8.460555,-11.779889
79,lesotho,-29.609988,28.233608
80,uzbekistan,41.377491,64.585262
81,north korea,40.339852,127.510093
82,zimbabwe,-19.015438,29.154857
83,barbados,13.193887,-59.543198
84,tanzania,-6.369028,34.888822
85,bangladesh,23.684994,90.356331
86,malaysia,4.210484,101.975766
87,botswana,-22.328474,24.684866
88,uruguay,-32.522779,-55.765835
89,jerusalem,31.768319,35.21371
90,benin,9.30769,2.315834
91,ghana,7.946527,-1.023194
92,ecuador,-1.831239,-78.18340599999999
93,kuwait,29.31166,47.481766
94,morocco,31.791702,-7.092619999999999
95,south africa,-30.559482,22.937506
96,united nations,40.7488758,-73.9680091
97,bosnia and herzegovina,43.915886,17.679076
98,bahrain,26.0667,50.5577
99,namibia,-22.95764,18.49041
100,cape verde,15.120142,-23.6051721
101,togo,8.619543,0.824782
102,guineabissau,11.803749,-15.180413
103,cuba,21.521757,-77.781167
104,maldives,1.977247,73.5361034
105,republic of georgia,43.0015544,41.023407
106,romania,45.943161,24.96676
107,macedonia,41.608635,21.745275
108,honduras,15.199999,-86.241905
109,bosnia  herzegovina,43.915886,17.679076
110,indonasia,-0.789275,113.921327
111,burundicar,0.0,0.0
112,saudi arabia,23.885942,45.079162
113,fiji,-17.713371,178.065032
114,japan,36.204824,138.252924
115,equatorial guinea,1.650801,10.267895
116,saudia arabia,23.885942,45.079162
117,panama,8.537981,-80.782127
118,kyrgyzstan,41.20438,74.766098
119,timor leste,-8.874217,125.727539
120,indiapakistan,28.6195429,77.23518539999999
121,moldova,47.411631,28.369885
122,chad,15.454166,18.732207
123,bahamas,25.03428,-77.39627999999999
124,jamaica,18.109581,-77.297508
125,sudans sudan,0.0,0.0
126,djibouti,11.825138,42.590275
127,belarus,53.709807,27.953389
128,acrosa esa,39.3417065,-76.9502577
