story_id,entity,type
0,"Liberia",LOCATION
0,"Somalia",LOCATION
0,"Nepal",LOCATION
0,"Chad",LOCATION
0,"Ethiopia",LOCATION
0,"Tanzania",LOCATION
0,"Bangladesh",LOCATION
0,"Guinea Bissau",LOCATION
0,"Lancet",ORGANIZATION
955,"Nicolas Maduro",PERSON
955,"Democratic Unity",ORGANIZATION
955,"Caracas",LOCATION
481,"Israel",LOCATION
481,"Sheikh Zuweid",LOCATION
481,"Egypt",LOCATION
481,"Sinai Peninsula",LOCATION
481,"Ansar Beit al-Maqdis",PERSON
1436,"Afghanistan",LOCATION
1436,"Taliban",ORGANIZATION
1436,"Interior Ministry",ORGANIZATION
1436,"Kabul",LOCATION
1436,"Qasaba",LOCATION
1436,"Sediq Sediqqi",PERSON
170,"Borno State",LOCATION
170,"Gwoza",LOCATION
170,"Special Forces of the Nigerian Army Unit",ORGANIZATION
170,"NAN",ORGANIZATION
170,"Boko Haram",PERSON
170,"News Agency of Nigeria",ORGANIZATION
2465,"SITE Intelligence Group",ORGANIZATION
2465,"Ansar al-Sharia",PERSON
476,"Saahdheer",LOCATION
476,"Khatumo",LOCATION
476,"Somaliland",LOCATION
476,"Somalia",LOCATION
2649,"Aberdeen",LOCATION
2649,"Freetown",LOCATION
2649,"Reuters",ORGANIZATION
2649,"Sierra Leone",LOCATION
1073,"Malaysia",LOCATION
1073,"Semporna",LOCATION
1073,"Sabah",LOCATION
1073,"Abu Sayyaf",PERSON
848,"Africa",LOCATION
848,"Europe",LOCATION
848,"Ceuta",LOCATION
848,"Mali",LOCATION
848,"Melilla",LOCATION
848,"Cameroon",LOCATION
848,"Morocco",LOCATION
848,"Gourougou",LOCATION
1,"Coca-Cola",ORGANIZATION
1,"Pepsi",ORGANIZATION
1,"Calvert Investments",ORGANIZATION
1,"Ellen Kennedy",PERSON
609,"Amnesty International",ORGANIZATION
609,"Hamas",ORGANIZATION
609,"Israel",LOCATION
609,"Egypt",LOCATION
609,"MENA Programme",ORGANIZATION
609,"Gaza",LOCATION
609,"UN",ORGANIZATION
609,"Gaza Strip",LOCATION
609,"Philip Luther",PERSON
2602,"Syria",LOCATION
1214,"UNAMA",ORGANIZATION
1214,"UNICEF",ORGANIZATION
1214,"UN",ORGANIZATION
1144,"Pakistan",LOCATION
1144,"Gujranwala",LOCATION
1144,"Facebook",ORGANIZATION
1144,"Islamabad",LOCATION
1144,"Ahmadi",PERSON
1144,"Human Rights Commission",ORGANIZATION
3289,"George Williams",PERSON
3289,"Liberia",LOCATION
3289,"National Health Workers Association",ORGANIZATION
411,"Somalia",LOCATION
411,"Kampala",LOCATION
411,"Sudan Tribune",ORGANIZATION
411,"Douglas Asiimwe",PERSON
411,"Uganda",LOCATION
411,"Congo",LOCATION
3477,"Aceh",LOCATION
3477,"Jakarta",LOCATION
3477,"Banda Aceh",LOCATION
3477,"Amnesty International",ORGANIZATION
3477,"Indonesia",LOCATION
1593,"Argentina",LOCATION
1593,"China",LOCATION
1593,"UN General Assembly",ORGANIZATION
1593,"EU",ORGANIZATION
1593,"US",LOCATION
1593,"Japan",LOCATION
3056,"Ghislaine Bokovo",PERSON
3056,"Bokovo",PERSON
3056,"Niger",LOCATION
3056,"Benin",LOCATION
3056,"West Africa",LOCATION
2,"Serbia",LOCATION
2,"EU",ORGANIZATION
2,"NATO",ORGANIZATION
2,"Bosnia",LOCATION
2,"Balkans",LOCATION
394,"Serbia",LOCATION
394,"EU",ORGANIZATION
394,"Bosnia",LOCATION
394,"Balkans",LOCATION
222,"Aleppo",LOCATION
222,"Syrian Observatory for Human Rights",ORGANIZATION
222,"Syria",LOCATION
1939,"Abu Rummaneh",PERSON
1939,"Damascus",LOCATION
1939,"Syrian Observatory for Human Rights",ORGANIZATION
1939,"Observatory",ORGANIZATION
1939,"Mazzeh",LOCATION
2011,"Akramah",LOCATION
2011,"Syria",LOCATION
2011,"Homs",LOCATION
2760,"Qaboun",LOCATION
2760,"Damascus",LOCATION
2760,"Syrian Observatory for Human Rights",ORGANIZATION
1318,"Afghanistan",LOCATION
1318,"Shukria Barakzai",PERSON
1318,"Najib Danish",PERSON
1318,"Barakzai",PERSON
1539,"Afghanistan",LOCATION
1539,"Taliban",ORGANIZATION
1539,"Omer Zwak",PERSON
1539,"Helmand province",LOCATION
1539,"Sangin",LOCATION
1539,"Zwak",PERSON
2810,"Bagram",LOCATION
2810,"Afghanistan",LOCATION
2810,"Taliban",ORGANIZATION
2810,"Afghan National Police",ORGANIZATION
2810,"Qalandarkhail",LOCATION
2810,"UN",ORGANIZATION
2810,"Parwan",LOCATION
96,"Peshawar",LOCATION
96,"Khyber Pakhtunkhwa",LOCATION
96,"Pakistan",LOCATION
96,"North Waziristan",LOCATION
96,"Matan Adezai",LOCATION
1441,"Gao",PERSON
1441,"Mokhtar Belmokhtar",PERSON
1441,"Al Moustarat",LOCATION
1441,"Al-Mourabitoun",PERSON
1441,"Abu Assem Al-Muhajir",PERSON
1441,"Mali",LOCATION
1441,"Belmokhtar",PERSON
1441,"Movement for Unity and Jihad",ORGANIZATION
1441,"West Africa",LOCATION
1081,"Michoacan",LOCATION
1081,"Mexico",LOCATION
1081,"Pacific",LOCATION
1081,"Colima",LOCATION
1081,"Jalisco",LOCATION
1081,"Guerrero",LOCATION
1081,"Marie",PERSON
1081,"Nayarit",LOCATION
1081,"US",LOCATION
1081,"Oaxaca",LOCATION
804,"Islah Party",ORGANIZATION
804,"Islah",ORGANIZATION
804,"Yemen",LOCATION
1024,"Sri Lanka",LOCATION
