row_index,country,date,file_name,link,region,story,title,country_simple,story_title,story_link,lat,lng,Category
0,Across Regions,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140521041625-5i9hy/?source=fiOtherNews3,General,"Research published on Tuesday in the Lancet medical journal showed Somalia, Liberia, Ethiopia and Bangladesh registered less than 10 percent of newborns by their first birthday. Chad, Guinea Bissau, Tanzania and Nepal registered less than 20 percent. The research found the rate of reduction in newborn deaths has been about half of that achieved for children under age five. Newborn deaths now account for a larger proportion of under-five child deaths  44 percent in 2012, compared to 36 percent in 1990.","Fatalistic outlook on ""invisible"" newborn deaths obstructs fight against infant mortality",,"Fatalistic outlook on ""invisible"" newborn deaths obstructs fight against infant mortality",Reuters - http://www.trust.org/item/20140521041625-5i9hy/?source=fiOtherNews3,0,0,disaster
1,Across Regions,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140521110131-di0qy/?source=fiOtherNews3,General,"Selling cans of cola that dont contain sugar grown on land forcibly taken from poor communities is proving to be a challenge for Coca-Cola and Pepsi. Under pressure from activists and consumers, the soda giants are struggling to clean up their act as they launch new policies to source sugar untainted by human rights concerns. Activists hope that, as two of the worlds largest sugar purchasers, Coca-Cola and Pepsi will lead the sugar industry to change its practices. But as both companies begin investigating thousands of suppliers, their efforts could be derailed by local land disputes and human rights violations that are difficult to track. ""Because these policies are so new, I don't think that we fully grasp the challenges that might arise during their implementation, said Ellen Kennedy, senior sustainability analyst at Calvert Investments, which advised Coca-Cola and Pepsi on the policies.",Coke and Pepsi work to clean up their supply chains,,Coke and Pepsi work to clean up their supply chains,Reuters - http://www.trust.org/item/20140521110131-di0qy/?source=fiOtherNews3,0,0,disaster
2,Across CEE/CIS,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,http://www.aljazeera.com/news/europe/2014/05/balkan-flood-devastation-exceeds-war-damage-2014521143138991821.html,Central and Eastern Europe and the Commonwealth of Independent States,"Officials in Bosnia and Serbia say floods that killed scores and displaced half a million will cost countries billions.  The cost of the recovery operation following devastating floods in the Balkans may amount to billions of dollars. Both Bosnia and Serbia said they will need international help, as EU and NATO officials visited affected areas on Wednesday to estimate damage.",Balkan flood devastation 'exceeds war damage',,Balkan flood devastation 'exceeds war damage',http://www.aljazeera.com/news/europe/2014/05/balkan-flood-devastation-exceeds-war-damage-2014521143138991821.html,0,0,disaster
3,Serbia,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,UNICEF - http://www.unicef.org/serbia/media_26089.html,Central and Eastern Europe and the Commonwealth of Independent States,"UNICEF mobilized over 70 volunteer psycho-social workers (mostly psychology students) and trained them, in collaboration with partners, over the weekend in order to be deployed to collective centres.  Psycho-social workers conducted initial situation and needs assessments in 14 collective centres, reaching an estimated 700 children. Recreation kits for 20 collective centres have been delivered to facilitate the full programme of workshops/activities with children that will be conducted in two 2 shifts per day.",UNICEF supports children evacuated from the flooded areas,serbia,UNICEF supports children evacuated from the flooded areas,UNICEF - http://www.unicef.org/serbia/media_26089.html,44.016521,21.005859,disaster
4,Tajikistan,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.reuters.com/article/2014/05/21/us-tajikistan-clashes-idUSBREA4K0MB20140521,Central and Eastern Europe and the Commonwealth of Independent States,"Two people in Tajikistan's eastern city of Khorog were killed on 21 May when police opened fire on a crowd that tried to storm a police station to free a local man held there and then went on to set fire to several government buildings, police said. Khorog, the capital of the Gorno-Badakhshan region on the border with Afghanistan, saw days of fighting in 2012 between government troops and rebels after the Tajik President vowed to punish local warlords for the killing of a security service general. The man detained at the Khorog police building is the brother of a former warlord, a Tajik police source in Dushanbe reported, without saying why he had been arrested.",Two people killed in clashes with police in the east,tajikistan,Two people killed in clashes with police in the east,Reuters - http://www.reuters.com/article/2014/05/21/us-tajikistan-clashes-idUSBREA4K0MB20140521,38.861034,71.276093,disaster
5,Turkey,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://www.channelnewsasia.com/news/world/istanbul-protester/1117214.html,Central and Eastern Europe and the Commonwealth of Independent States,"Turkish riot police on Thursday fired tear gas and water cannon to disperse a group of Istanbul protesters hurling Molotov cocktails and stones, seriously injuring one person, local media reported. Dogan news agency showed the picture of a man lying on the ground with a pool of blood around his head in the Okmeydani district of the city, the scene of sporadic clashes. Up to 20 people chanted slogans protesting about the death of a teenage boy during anti-government unrest last year. Demonstrators also chanted about last week's mine disaster that claimed the lives of 301 people, Dogan said. The protester fell to the ground after apparently being hit in the head and was taken to the hospital in a serious condition, added Dogan. A funeral ceremony was being held nearby when police stepped in, firing tear gas and water cannon as well as a pistol into the air to scare off the protesters.",Istanbul protester injured after clashes with police,turkey,Istanbul protester injured after clashes with police,AFP - http://www.channelnewsasia.com/news/world/istanbul-protester/1117214.html,38.963745,35.243322,disaster
6,Ukraine,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://gulfnews.com/news/world/other-world/ukraine-boosts-security-for-vote-as-us-warns-russia-1.1336512,Central and Eastern Europe and the Commonwealth of Independent States,"The US Vice President threatened further sanctions on Moscow if it disrupts Sundays presidential ballot, being viewed as crucial to prevent all-out civil war on Europes doorstep. In a key step demanded by the West to ease tensions, Russia said its troops were packing up and moving back from the Ukrainian border, but also again demanded that Kiev halt its offensive against the pro-Moscow separatists fighting in the east. Washington and NATO have so far said they have seen no sign of any pullback, although Ukraines border guard service said there was no visible Russian troop activity within 10 kilometres of its territory.",Ukraine boosts security for vote as US warns Russia,ukraine,Ukraine boosts security for vote as US warns Russia,AFP - http://gulfnews.com/news/world/other-world/ukraine-boosts-security-for-vote-as-us-warns-russia-1.1336512,48.379433,31.16558,disaster
7,Ukraine,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,BBC - http://www.bbc.com/news/world-europe-27515514,Central and Eastern Europe and the Commonwealth of Independent States,Separatists have been skirmishing with security forces in Donetsk for weeks.,Many soldiers die in Donetsk attack,ukraine,Many soldiers die in Donetsk attack,BBC - http://www.bbc.com/news/world-europe-27515514,48.379433,31.16558,disaster
8,Across EAPR,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.reuters.com/article/2014/05/21/us-vietnam-china-idUSBREA4K1AK20140521,East Asia and Pacific,"Vietnamese Prime Minister Nguyen Tan Dung said his government was considering various ""defence options"" against China, including legal action, following the deployment of a Chinese oil rig to disputed waters in the South China Sea. Dung's comments, given in a written response to questions from Reuters, are the first time he has suggested Vietnam would take legal measures, a threat likely to infuriate Beijing.",Vietnam PM says considering legal action against China over disputed waters,,Vietnam PM says considering legal action against China over disputed waters,Reuters - http://www.reuters.com/article/2014/05/21/us-vietnam-china-idUSBREA4K1AK20140521,0,0,disaster
9,Across EAPR,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://news.malaysia.msn.com/regional/nkorea-threatens-to-strike-skorea-warships-near-sea-border-1,East Asia and Pacific,"North Korea threatened Wednesday to launch an attack on South Korean warships without warning if there was even a ""trifling"" provocation near their disputed Yellow Sea border. A South Korean naval ship fired warning shots Tuesday after three North Korean patrol boats crossed the sea boundary.  On Wednesday the North's military accused South Korea of ""an intentional grave provocation"" at a time when North Korean vessels had been chasing Chinese boats fishing illegally in the area.",N.Korea threatens to strike S.Korea warships near sea border,,N.Korea threatens to strike S.Korea warships near sea border,AFP - http://news.malaysia.msn.com/regional/nkorea-threatens-to-strike-skorea-warships-near-sea-border-1,0,0,disaster
10,China,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,BBC -http://www.bbc.com/news/world-asia-china-27502652,East Asia and Pacific,"The Ministry of Public Security called it a ""violent terrorist incident"".",Attack in Xinjiang capital Urumqi kills 31,china,Attack in Xinjiang capital Urumqi kills 31,BBC -http://www.bbc.com/news/world-asia-china-27502652,35.86166,104.195397,disaster
