,country_simple,lat,lng
0,across regions,0.0,0.0
1,across ceecis,0.0,0.0
2,serbia,44.016521,21.005859
3,tajikistan,38.861034,71.276093
4,turkey,38.963745,35.243322
5,ukraine,48.379433,31.16558
6,across eapr,0.0,0.0
7,china,35.86166,104.195397
8,myanmar,21.913965,95.956223
9,thailand,15.870032,100.992541
10,kenya,-0.023559,37.906193
11,malawi,-13.254308,34.301525
12,venezuela,6.42375,-66.58973
13,egypt,26.820553,30.802498
14,libya,26.3351,17.228331
15,state of palestine,37.9261862,-89.8058909
16,syria,34.80207499999999,38.996815
17,across rosa,0.0,0.0
18,afghanistan,33.93911,67.709953
19,india,20.593684,78.96288
20,pakistan,30.375321,69.34511599999999
21,mali,17.570692,-3.996166
22,nigeria,9.081999,8.675277
23,across eap,0.0,0.0
24,phillipines,12.879721,121.774017
25,across lac,0.0,0.0
26,bolivia,-16.290154,-63.58865299999999
27,brazil,-14.235004,-51.92528
28,mexico,23.634501,-102.552784
29,across mena,44.9220274,-69.9047625
30,state of palestineisrael,31.7476116,35.2246196
31,iraq,33.223191,43.679291
32,tunisia,33.886917,9.537499
33,yemen,15.552727,48.516388
34,across wca,0.0,0.0
35,liberia,6.428055,-9.429499000000002
36,across region,43.1078435,-79.098641
37,bulgaria,42.733883,25.48583
38,philippines,12.879721,121.774017
39,south sudan,6.876991899999999,31.3069788
40,uganda,1.373333,32.290275
41,colombia,4.570868,-74.297333
42,iran,32.427908,53.688046
43,lebanon,33.854721,35.862285
44,nepal,28.394857,84.12400799999999
45,sri lanka,7.873053999999999,80.77179699999999
46,mauritania,21.00789,-10.940835
47,serbiakosovo,44.016521,21.005859
48,burundi,-3.373056,29.918886
49,mozambique,-18.665695,35.529562
50,haiti,18.971187,-72.285215
51,israelstate of palestine,0.0,0.0
52,burkina faso,12.238333,-1.561593
53,car,35.79154,-78.7811169
54,drc,-4.038333,21.758664
55,niger,17.607789,8.081666
56,ethiopia,9.145000000000001,40.489673
57,rwanda,-1.940278,29.873888
58,somalia,5.152149,46.199616
59,swaziland,-26.522503,31.465866
60,el salvador,13.794185,-88.89653
61,guyana,4.860416,-58.93018
62,paraguay,-23.442503,-58.443832
63,sudan,12.862807,30.217636
64,dr congo,-4.038333,21.758664
65,guatemala,15.783471,-90.23075899999999
66,algeria,28.033886,1.659626
67,gambia,13.443182,-15.310139
68,madagascar,-18.766947,46.869107
69,israel,31.046051,34.851612
70,jordan,30.585164,36.238414
71,cameroon,7.369721999999999,12.354722
72,peru,-9.189967,-75.015152
73,across sa,-33.1386688,136.4241999
74,nicaragua,12.865416,-85.207229
75,central african republic,6.611110999999999,20.939444
76,senegal,14.497401,-14.452362
77,bosniaherzegovina,43.915886,17.679076
78,russia,61.52401,105.318756
79,esar,28.9797718,50.8320241
80,across wcar,0.0,0.0
81,guinea,9.945587,-9.696645
82,south sudansudan,12.862807,30.217636
83,cambodia,12.565679,104.990963
84,indonesia,-0.789275,113.921327
85,across esa,0.0,0.0
86,chile,-35.675147,-71.542969
87,laos,19.85627,102.495496
88,solomon islands,-9.64571,160.156194
89,dominican republic,18.735693,-70.162651
90,argentina,-38.416097,-63.61667199999999
91,bosnia herzegovina,43.915886,17.679076
92,zambia,-13.133897,27.849332
93,sierra leone,8.460555,-11.779889
94,lesotho,-29.609988,28.233608
95,uzbekistan,41.377491,64.585262
96,dprk,27.683747,85.312569
97,zimbabwe,-19.015438,29.154857
98,barbados,13.193887,-59.543198
99,tanzania,-6.369028,34.888822
100,bangladesh,23.684994,90.356331
101,malaysia,4.210484,101.975766
102,botswana,-22.328474,24.684866
103,uruguay,-32.522779,-55.765835
104,jerusalem,31.768319,35.21371
105,benin,9.30769,2.315834
106,ghana,7.946527,-1.023194
107,ecuador,-1.831239,-78.18340599999999
108,kuwait,29.31166,47.481766
109,morocco,31.791702,-7.092619999999999
110,lao dpr,16.789175,96.13969449999999
111,south africa,-30.559482,22.937506
112,united nations,40.7488758,-73.9680091
113,bosnia and herzegovina,43.915886,17.679076
114,dpr korea,47.9223789,106.9124596
115,bahrain,26.0667,50.5577
116,across wac,0.0,0.0
117,namibia,-22.95764,18.49041
118,cape verde,15.120142,-23.6051721
119,togo,8.619543,0.824782
120,guineabissau,11.803749,-15.180413
121,cuba,21.521757,-77.781167
122,maldives,1.977247,73.5361034
123,georgia,32.1656221,-82.9000751
124,romania,45.943161,24.96676
125,macedonia,41.608635,21.745275
126,honduras,15.199999,-86.241905
127,bosnia  herzegovina,43.915886,17.679076
128,indonasia,-0.789275,113.921327
129,burundicar,0.0,0.0
130,saudi arabia,23.885942,45.079162
131,fiji,-17.713371,178.065032
132,japan,36.204824,138.252924
133,equatorial guinea,1.650801,10.267895
134,saudia arabia,23.885942,45.079162
135,panama,8.537981,-80.782127
136,kyrgyzstan,41.20438,74.766098
137,timor leste,-8.874217,125.727539
138,indiapakistan,28.6195429,77.23518539999999
139,moldova,47.411631,28.369885
140,chad,15.454166,18.732207
141,bahamas,25.03428,-77.39627999999999
142,jamaica,18.109581,-77.297508
143,sudans sudan,0.0,0.0
144,djibouti,11.825138,42.590275
145,across west africa,36.7017833,10.1797629
146,belarus,53.709807,27.953389
147,acrosa esa,39.3417065,-76.9502577
